time,right: target position x,right: target position y,right: target position x,right: current position x,right: current position y,right: current position z,right: target orientation w,right: target orientation x,right: target orientation y,right: target orientation z,right: current orientation w,right: current orientation x,right: current orientation y,right: current orientation z,left: target position x,left: target position y,left: target position x,left: current position x,left: current position y,left: current position z,left: target orientation w,left: target orientation x,left: target orientation y,left: target orientation z,left: current orientation w,left: current orientation x,left: current orientation y,left: current orientation z
202.4,0.144538201789,-0.700051711714,0.842814149458,0.147575966217,-0.645852913056,0.848545035097,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.00291373379181,-0.999978786297,0.00323642862367,-0.00484382510344,0.144572642763,0.299931996625,0.842769498918,0.147713038721,0.359469531077,0.848064569548,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.00218211522618,-0.999986153128,0.002979867409,-0.00374864171681
202.5,0.144538201789,-0.686840967528,0.842814149458,0.148993564633,-0.615052990845,0.85133303076,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.00414195392387,-0.999959003306,0.00234284742203,-0.00770369983318,0.144572642763,0.313142740811,0.842769498918,0.149187794257,0.389386695426,0.850651628591,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.00334997776208,-0.999970264137,0.00217751755635,-0.00659597661354
202.6,0.144538201789,-0.655257332087,0.842814149458,0.149402238756,-0.569600304815,0.852777243153,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.00472996082619,-0.999948333658,-0.00113656303289,-0.00892556499272,0.144572642763,0.344726376252,0.842769498918,0.149637538505,0.433501583041,0.851981180114,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.00398460569346,-0.999959497928,-0.00103276301478,-0.0080036755131
202.7,0.144538201789,-0.60820664557,0.842814149458,0.148717398636,-0.544119315703,0.852161705136,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.0041294065818,-0.999943823791,-0.00541047940579,-0.00812551389058,0.144572642763,0.391777062769,0.842769498918,0.148925170831,0.458232706465,0.851417424967,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.00347295553416,-0.999952574706,-0.00523303402758,-0.00744327041978
202.8,0.144538201789,-0.562525234316,0.842814149458,0.148002065826,-0.522164085033,0.850620237438,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.00318282292529,-0.999899238011,-0.0123344891788,-0.00626449047648,0.144572642763,0.437458474023,0.842769498918,0.148171803723,0.479529807282,0.849979804969,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.00264984167376,-0.999905214054,-0.0121871451686,-0.00583221561068
202.9,0.144538201789,-0.506490063241,0.842814149458,0.146727161058,-0.499363266746,0.848201511633,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.00182352878191,-0.999868423707,-0.0156813287775,-0.00372906741688,0.144572642763,0.493493645098,0.842769498918,0.146830871738,0.501647632511,0.847736023356,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.0014529165797,-0.999869928054,-0.0156506969049,-0.00361547957172
203.0,0.144538201789,-0.443792551468,0.842814149458,0.145393799567,-0.485244779108,0.846434742833,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.000615083270922,-0.999869983084,-0.0159539049724,-0.00226086611788,0.144572642763,0.556191156871,0.842769498918,0.145441972313,0.515362354066,0.846110071101,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.000358066524702,-0.999869573747,-0.0159714365615,-0.00237075888367
203.1,0.144538201789,-0.386690732523,0.842814149458,0.144452431892,-0.47183131736,0.844157995048,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.00067595174832,0.999895252163,0.0144576764326,-5.81610882817e-05,0.144572642763,0.613292975816,0.842769498918,0.144430307505,0.528379214294,0.843998990976,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.000805798560183,0.999893737583,0.0145525610051,0.000295293456395
203.2,0.144538201789,-0.340905191257,0.842814149458,0.144000107306,-0.465709072248,0.842993941066,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.00130320765509,0.999884230788,0.0151097163255,-0.00123415739174,0.144572642763,0.662845092162,0.842769498918,0.143929222275,0.534327468134,0.842924626169,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.00137875155849,0.999883032152,0.0152139265024,-0.00074665876357
203.3,0.144538201789,-0.313207690637,0.842814149458,0.143880327282,-0.463672988883,0.842558039526,0.000578663954361,0.999972140965,0.0074088533813,-0.00070095231536,0.00148374210319,0.999885558224,0.0149579061201,-0.0017117269321,0.144572642763,0.688946428,0.842769498918,0.143798618222,0.53630434576,0.842518191158,0.000635748187664,0.999972672888,0.0073234273094,-0.00078531192771,0.00153824517722,0.999884417551,0.0150791119009,-0.00118563287626
