time,left: target position x,left: target position y,left: target position x,left: current position x,left: current position y,left: current position z,right: target position x,right: target position y,right: target position x,right: current position x,right: current position y,right: current position z
105.1,0.604325105282,0.7245720181649999,0.43558622917400003,0.6208420474849999,0.5950399819600001,0.431154948858,0.618886029335,-0.37524009478200004,0.41214316712399995,0.635066303139,-0.504641473639,0.40521468405100003
105.2,0.604325105282,0.709272752397,0.43558622917400003,0.618535309676,0.6207445042549999,0.431239430381,0.618886029335,-0.39053936055,0.41214316712399995,0.6328824497309999,-0.478979715528,0.405806713328
105.3,0.604325105282,0.6915803308230001,0.43558622917400003,0.615365576831,0.646821449768,0.431330577955,0.618886029335,-0.40823178212399996,0.41214316712399995,0.629615590266,-0.45327288039499997,0.406168043115
105.4,0.604325105282,0.662363456083,0.43558622917400003,0.61067782483,0.673937365927,0.431163168627,0.618886029335,-0.437448656864,0.41214316712399995,0.624993130979,-0.42622523323600003,0.40678658970299997
105.5,0.604325105282,0.640044905692,0.43558622917400003,0.608541965527,0.686505653436,0.43118793758699997,0.618886029335,-0.45976720725500003,0.41214316712399995,0.622475015642,-0.413861465957,0.40683509303900006
105.6,0.604325105282,0.613723647592,0.43558622917400003,0.6056916129,0.6985441468670001,0.430879087869,0.618886029335,-0.486088465355,0.41214316712399995,0.6197881119699999,-0.40188888730300004,0.407270498248
105.7,0.604325105282,0.589073268152,0.43558622917400003,0.604232140197,0.7046014888009999,0.430792636263,0.618886029335,-0.510738844795,0.41214316712399995,0.618357957524,-0.395966770454,0.407374524394
105.8,0.604325105282,0.558298416545,0.43558622917400003,0.604610399198,0.7040366431980001,0.43093785858499994,0.618886029335,-0.541513696401,0.41214316712399995,0.61850499884,-0.39657749018700006,0.40719685759499996
105.9,0.604325105282,0.538655852435,0.43558622917400003,0.604284991882,0.704671454388,0.430814416708,0.618886029335,-0.561156260511,0.41214316712399995,0.618352503358,-0.395941264237,0.407332110138
106.0,0.604325105282,0.5027995659210001,0.43558622917400003,0.604760234997,0.6996120465710001,0.42893476178499995,0.618886029335,-0.597012547026,0.41214316712399995,0.6185625257630001,-0.39967245935,0.40534809652099996
106.1,0.604325105282,0.476396784349,0.43558622917400003,0.605698350398,0.689498758521,0.42782709804799995,0.618886029335,-0.6234153285980001,0.41214316712399995,0.619498427392,-0.41187994991899995,0.401836495211
106.2,0.604325105282,0.453992809133,0.43558622917400003,0.606062916892,0.676334335411,0.42899267756399995,0.618886029335,-0.645819303814,0.41214316712399995,0.620413768243,-0.424945913818,0.401865417641
106.3,0.604325105282,0.42676955933300004,0.43558622917400003,0.60697948442,0.651075200747,0.43055504571599995,0.618886029335,-0.6730425536139999,0.41214316712399995,0.621638017086,-0.450183024771,0.402003814883
106.4,0.604325105282,0.406914055888,0.43558622917400003,0.607645628236,0.62390555089,0.431645084675,0.618886029335,-0.692898057059,0.41214316712399995,0.6219938106,-0.47713935544,0.40286180841499997
106.5,0.604325105282,0.391603517505,0.43558622917400003,0.606771556111,0.607673551815,0.431653988196,0.618886029335,-0.708208595442,0.41214316712399995,0.621518077649,-0.489549663067,0.403558158114
106.6,0.604325105282,0.380244408409,0.43558622917400003,0.606363903678,0.592293609326,0.431711204643,0.618886029335,-0.723248015122,0.41214316712399995,0.620587274311,-0.508394174172,0.40485064187299996
106.7,0.604325105282,0.367510386052,0.43558622917400003,0.605229474349,0.5786532407899999,0.431524625468,0.618886029335,-0.732301726894,0.41214316712399995,0.619419730375,-0.521653877685,0.406139635587
106.8,0.604325105282,0.361551067329,0.43558622917400003,0.6047087391679999,0.5692789856189999,0.431396198447,0.618886029335,-0.738261045617,0.41214316712399995,0.618589976174,-0.530953769145,0.406923724364
106.9,0.604325105282,0.358591653099,0.43558622917400003,0.60442593767,0.566514264565,0.43132572440300004,0.618886029335,-0.7412204598469999,0.41214316712399995,0.618276050187,-0.5336201189600001,0.40720628590999997
107.0,0.604325105282,0.360168646012,0.43558622917400003,0.6043631758470001,0.566699588512,0.431344214165,0.618886029335,-0.739643466934,0.41214316712399995,0.618300121667,-0.533290279912,0.40731216843
107.1,0.604325105282,0.364984786829,0.43558622917400003,0.604978004268,0.562809169926,0.430149915284,0.618886029335,-0.734827326118,0.41214316712399995,0.6188544038970001,-0.537146247241,0.40595243527400005
107.2,0.604325105282,0.37404692712399995,0.43558622917400003,0.606357294835,0.554296582597,0.42842544477300004,0.618886029335,-0.7257651858230001,0.41214316712399995,0.619900816834,-0.545426947059,0.40393286526999994
107.3,0.604325105282,0.38983400223700004,0.43558622917400003,0.6084833739,0.53887437855,0.427515333627,0.618886029335,-0.70997811071,0.41214316712399995,0.6219867602870001,-0.560231522509,0.40291993434
107.4,0.604325105282,0.40494244028000004,0.43558622917400003,0.610418002406,0.520813811135,0.42791335635899996,0.618886029335,-0.694869672667,0.41214316712399995,0.6242806129290001,-0.577557082644,0.403494345068
107.5,0.604325105282,0.426825722951,0.43558622917400003,0.612267004596,0.496174173892,0.42839685446500003,0.618886029335,-0.672986389995,0.41214316712399995,0.626306035428,-0.601917366127,0.40394115439000006
107.6,0.604325105282,0.444821974469,0.43558622917400003,0.613199251289,0.4659130744899999,0.428965729427,0.618886029335,-0.654990138478,0.41214316712399995,0.627398636898,-0.631674496815,0.40456507817000004
107.7,0.604325105282,0.471957491433,0.43558622917400003,0.612579704546,0.43431283843999996,0.42954442253799996,0.618886029335,-0.627854621514,0.41214316712399995,0.626792028449,-0.663364044478,0.405136956351
