time,right target position x,right target position y,right target position x,right current position x,right current position y,right current position z,right target orientation w,right target orientation x,right target orientation y,right target orientation z,right current orientation w,right current orientation x,right current orientation y,right current orientation z,left target position x,left target position y,left target position x,left current position x,left current position y,left current position z,left target orientation w,left target orientation x,left target orientation y,left target orientation z,left current orientation w,left current orientation x,left current orientation y,left current orientation z
5.7,0.247607902176,-0.181143224951,0.835601409332,0.247607221747,-0.181143277497,0.835601690412,0.00682602732748,-0.982919600329,-0.149073392829,0.107701384349,0.00682606026967,-0.982920962954,-0.149065267047,0.107700193346,0.54797594023,0.134849582167,0.66996348115,0.548001534383,0.134895154945,0.669974551905,0.0807567004533,-0.984579909419,-0.135986908271,0.0747550538653,0.0807491273722,-0.984575446322,-0.136026096896,0.0747507183409
5.8,0.247607157836,-0.181143549046,0.835601825676,0.247609469484,-0.181144286492,0.835601595934,0.00682741228741,-0.982919535036,-0.149073837553,0.10770127689,0.0068252269465,-0.982918757864,-0.149081757768,0.10769754508,0.548039947897,0.134970166029,0.670006536984,0.548051438165,0.134978000525,0.669989978361,0.080728300745,-0.984570072339,-0.136087330741,0.0747325399276,0.080738906367,-0.984566908785,-0.136098449658,0.0747425121687
5.9,0.247606834901,-0.181143154322,0.835601783476,0.247607852364,-0.181143794433,0.83560177301,0.00682558168593,-0.982921643686,-0.149059803844,0.107701572344,0.0068272830593,-0.982918493747,-0.149082542873,0.107698738466,0.54801277745,0.134921599848,0.669992635828,0.547993177434,0.134897605982,0.670003624156,0.0807375935575,-0.984574434463,-0.136046182212,0.0747399511264,0.0807304697951,-0.984579048197,-0.136021440767,0.0747318991474
6.0,0.247609090206,-0.181144329032,0.8356014731,0.247608834651,-0.181143709737,0.835601693214,0.00682122764272,-0.982921181392,-0.149066172888,0.107697252169,0.00682480816319,-0.982922120547,-0.149058195129,0.107699495811,0.547980630791,0.134856336186,0.669963006168,0.548005865691,0.134915273865,0.670002198583,0.0807569199923,-0.984578984282,-0.135993262155,0.0747554428227,0.0807316320324,-0.984576625416,-0.136038034861,0.0747323580812
6.1,0.247608127687,-0.181143807277,0.835601876114,0.247608127687,-0.181143807277,0.835601876114,0.00682533921684,-0.982920418863,-0.149071050073,0.107697200318,0.00682533921684,-0.982920418863,-0.149071050073,0.107697200318,0.548035198278,0.134955190273,0.669992041297,0.548035198278,0.134955190273,0.669992041297,0.0807377028702,-0.984570079747,-0.136077080597,0.0747409495356,0.0807377028702,-0.984570079747,-0.136077080597,0.0747409495356
6.2,0.24760777303,-0.181143389158,0.835601890912,0.247607060949,-0.181143439359,0.835601869375,0.00682234566744,-0.982927147457,-0.149025176084,0.10769946743,0.00682708270751,-0.982920156776,-0.14906973821,0.107701297558,0.548014374032,0.134928280336,0.670000992144,0.548000753156,0.134907407632,0.670000676986,0.0807323445886,-0.984574707175,-0.136050388737,0.0747343712914,0.0807324179682,-0.984577404468,-0.136031184267,0.0747337153285
6.3,0.24760820062,-0.181143253242,0.835601567859,0.247606671097,-0.181143061305,0.835601866823,0.00682337296675,-0.982924425193,-0.149042044424,0.107700904982,0.00682364153243,-0.982924341391,-0.149042024921,0.107701679766,0.547982977545,0.13486418186,0.669971339613,0.547984256165,0.134874240445,0.669985106703,0.0807515876366,-0.984579097894,-0.135998519824,0.0747501417336,0.0807429909427,-0.984579539118,-0.136004615699,0.0747425251961
6.4,0.247609260541,-0.181144335445,0.835601569103,0.247609260541,-0.181144335445,0.835601569103,0.00682415659288,-0.982918209287,-0.149085611175,0.107697285384,0.00682415659288,-0.982918209287,-0.149085611175,0.107697285384,0.548040915147,0.134952881111,0.66997302044,0.548040915147,0.134952881111,0.66997302044,0.0807499284921,-0.984567898697,-0.136079522518,0.0747520264273,0.0807499284921,-0.984567898697,-0.136079522518,0.0747520264273
6.5,0.247607061952,-0.181143199564,0.835601886893,0.247607932579,-0.181143163467,0.835601788344,0.00682740725322,-0.982920315157,-0.149068510473,0.107701530845,0.00682364827127,-0.982925187352,-0.149036348416,0.107701814021,0.548017111974,0.134931822813,0.670000114608,0.548001248917,0.134895655219,0.669978800812,0.0807329685798,-0.984574150671,-0.136053894466,0.0747346466896,0.080746658711,-0.984576064528,-0.136025644893,0.0747460647645
6.6,0.24760773824,-0.181143115407,0.835601775632,0.247607932579,-0.181143163467,0.835601788344,0.00682909440709,-0.982917278052,-0.149088247609,0.107701821714,0.00682364827127,-0.982925187352,-0.149036348416,0.107701814021,0.5479845976,0.134872185722,0.669982102399,0.548001248917,0.134895655219,0.669978800812,0.0807447468056,-0.984579517073,-0.136003337015,0.0747432454796,0.080746658711,-0.984576064528,-0.136025644893,0.0747460647645
