Time,Target x,Target y,Target x,Current x,Current y,Current z
0.2,0.398003403652,-0.386849434991,0.854881511851,0.398003403652,-0.386849434991,0.854881511851
0.3,0.398002080663,-0.386848034871,0.854882083704,0.398002080663,-0.386848034871,0.854882083704
0.4,0.398002852593,-0.386849465304,0.854881857739,0.398002852593,-0.386849465304,0.854881857739
0.5,0.398002079101,-0.386848378951,0.854882183147,0.398002079101,-0.386848378951,0.854882183147
0.6,0.398002248074,-0.386849317139,0.854882268518,0.398002248074,-0.386849317139,0.854882268518
0.7,0.398002638749,-0.386848279313,0.854881735299,0.398002638749,-0.386848279313,0.854881735299
0.8,0.39800223742,-0.386849064801,0.854882219982,0.39800223742,-0.386849064801,0.854882219982
0.9,0.398003218569,-0.386848576377,0.8548814529,0.398003218569,-0.386848576377,0.8548814529
1.0,0.399303374686,-0.386202402423,0.85398112474,0.398002816395,-0.386848638921,0.85488163454
1.1,0.399303374686,-0.386202402423,0.85398112474,0.398002816395,-0.386848638921,0.85488163454
1.2,0.404422728219,-0.366421110938,0.853079783302,0.397987539099,-0.386846664677,0.854897756749
1.3,0.409795699515,-0.349309660505,0.850274669509,0.398299581553,-0.386954615617,0.853978208025
1.4,0.415016947188,-0.330921776603,0.849273132663,0.398254771249,-0.387450733026,0.85461841766
1.5,0.418610511221,-0.314759649347,0.848721789699,0.398681989455,-0.387061245875,0.854354363654
1.6,0.422235039868,-0.301223911355,0.846554743629,0.399207638002,-0.384724761545,0.854233512737
1.7,0.425574896731,-0.2893735543,0.846084224563,0.400444143753,-0.380743939541,0.853674370371
1.8,0.4274275283,-0.278141148399,0.84601180492,0.400773960741,-0.379727110317,0.853705460748
1.9,0.429440377154,-0.267286844562,0.842861878257,0.400322755852,-0.380209867823,0.854394139042
2.0,0.429440377154,-0.267286844562,0.842861878257,0.400322755852,-0.380209867823,0.854394139042
2.1,0.432122943797,-0.243485607217,0.826995777469,0.403417450372,-0.370340513392,0.851917330031
2.2,0.433208523192,-0.230288036178,0.817898320537,0.407478843425,-0.357063394697,0.850722139042
2.3,0.434174565472,-0.217641867708,0.807285415512,0.412199379671,-0.342168771144,0.849315161263
2.4,0.435832558074,-0.207250185321,0.796373950821,0.416626728793,-0.321814302128,0.847326898667
2.5,0.435663161673,-0.200094617914,0.790010439735,0.42221350573,-0.306912513016,0.846068519097
2.6,0.434194443621,-0.191280730079,0.782033550125,0.423605083493,-0.29404203112,0.844769181349
2.7,0.434194443621,-0.191280730079,0.782033550125,0.423605083493,-0.29404203112,0.844769181349
2.8,0.430352805056,-0.170523859571,0.756590234619,0.425559724178,-0.287101217569,0.844437739493
2.9,0.427107898392,-0.15954733641,0.741662668567,0.425882939814,-0.289541424886,0.844547734633
3.0,0.424441097178,-0.150218166421,0.723963486534,0.427821217261,-0.288848380196,0.840462645835
3.1,0.422888276972,-0.142141915868,0.704710709434,0.427595117595,-0.277370571343,0.835078772036
3.2,0.423118708529,-0.134387411188,0.684576737266,0.428862558383,-0.257497968215,0.822350446784
3.3,0.423118708529,-0.134387411188,0.684576737266,0.428862558383,-0.257497968215,0.822350446784
3.4,0.42143392364,-0.117464132617,0.651355254036,0.433273188496,-0.227610392132,0.80181605529
3.5,0.420571712651,-0.109577246021,0.636355804782,0.432989619169,-0.206230671867,0.790109603356
3.6,0.41891732613,-0.10393280537,0.620804476123,0.435113595617,-0.197639096177,0.783371765752
3.7,0.418350813784,-0.0999960973963,0.604742514473,0.434396341044,-0.19051101411,0.77982286505
3.8,0.416730804243,-0.097046144317,0.591878878456,0.435426288345,-0.1910804579,0.779689030817
3.9,0.413877634205,-0.0940136388048,0.580240952354,0.433595240583,-0.189833048565,0.778913084656
4.0,0.411474076905,-0.0911554172739,0.568453299385,0.434068639007,-0.18877738534,0.776626874783
4.1,0.410413829484,-0.0900142565473,0.558979200702,0.432503997173,-0.183182433861,0.767126512483
4.2,0.408970592417,-0.0901979282602,0.550172077995,0.431824936077,-0.177250198658,0.753841569204
4.3,0.406940711536,-0.0928380861982,0.540859567504,0.42975076108,-0.167384980292,0.735642713501
4.4,0.405003858604,-0.0938149765238,0.535648214202,0.428905566832,-0.157332839298,0.713843384987
4.5,0.405003858604,-0.0938149765238,0.535648214202,0.428905566832,-0.157332839298,0.713843384987
4.6,0.404129220047,-0.0944457724794,0.531021344047,0.425522527145,-0.14062037817,0.682569518876
4.7,0.403298241891,-0.0944545343622,0.529532956462,0.423689912935,-0.12958047177,0.661010099289
4.8,0.403381956615,-0.0938973799452,0.528537558895,0.421428524285,-0.115553549072,0.633137952133
4.9,0.403381956615,-0.0938973799452,0.528537558895,0.421428524285,-0.115553549072,0.633137952133
5.0,0.406411407389,-0.0888504758581,0.528801488262,0.418017605281,-0.101949616902,0.609168208751
5.1,0.403900084891,-0.0848077014193,0.523988115173,0.419390110387,-0.10116343945,0.603711585717
5.2,0.39967930118,-0.0854700878366,0.51937167583,0.416910555469,-0.0990294256729,0.604298339863
5.3,0.399952990808,-0.0938547626242,0.519302772861,0.418618298028,-0.101624077974,0.598409685736
5.4,0.400186924138,-0.105216242383,0.521294223648,0.414764453524,-0.0967029850915,0.584253466383
5.5,0.397477893033,-0.115861482929,0.522268461567,0.414185949361,-0.0960205527815,0.566082161764
5.6,0.394712028899,-0.127603061508,0.521418797355,0.409940804106,-0.0918840885777,0.548430327368
5.7,0.392128525176,-0.137680687021,0.519855546337,0.40788163414,-0.090041389728,0.536275890506
5.8,0.392128525176,-0.137680687021,0.519855546337,0.40788163414,-0.090041389728,0.536275890506
